,name,age,sex,season
0,Amanda Marsh,23,F,1
1,Trista Rehn,29,F,1
2,Shannon Oliver,24,F,1
3,Kim,24,F,1
4,Cathy Grimes,22,F,1
5,Christina Stencil,28,F,1
6,LaNease Adams,23,F,1
7,Rhonda Rittenhouse,28,F,1
8,Alexa,27,F,1
9,Amy Anzel,28,F,1
10,Angela,25,F,1
11,Angelique Madrid,27,F,1
12,Katie,23,F,1
13,Melissa,25,F,1
14,Tina Chen,27,F,1
15,Amber,29,F,1
16,Daniela,30,F,1
17,Denise,30,F,1
18,Jackie,22,F,1
19,Jill,31,F,1
20,Kristina Jenkins,27,F,1
21,Lisa Gold,29,F,1
22,Paula,24,F,1
23,Rachel,29,F,1
24,Wendi Plotnik,26,F,1
25,Helene Eksterowicz,27,F,2
26,Brooke Smith,22,F,2
27,Gwen Gioia,31,F,2
28,Angela,27,F,2
29,Hayley Crittenden,28,F,2
30,Heather Cranford,30,F,2
31,Christi Weible,23,F,2
32,Heather,24,F,2
33,Kyla Dickerson,22,F,2
34,Shannon,26,F,2
35,Dana Norris,24,F,2
36,Erin,25,F,2
37,Suzanne Freeman,33,F,2
38,Frances Dinglasan,30,F,2
39,Anindita Dutta,27,F,2
40,Amber West,26,F,2
41,Camille Langfield,29,F,2
42,Cari,29,F,2
43,Christy,24,F,2
44,Erin,24,F,2
45,Fatima Rivas,22,F,2
46,Liangy Fernandez,30,F,2
47,Lori Todd,26,F,2
48,Merrilee Donohue,28,F,2
49,Suzi Reid,28,F,2
50,Jessica Bowlin,22,F,5
51,Tara Huckeby,23,F,5
52,Mandy Jaye Jeffreys,26,F,5
53,Trish Schneider,28,F,5
54,Suzie Williams,23,F,5
55,Karen Lindsay,28,F,5
56,Jessica Holcomb,25,F,5
57,Julie Durda,24,F,5
58,Jenny De Schiralli,26,F,5
59,Katie Gehart,22,F,5
60,Jean-Marie Callahan,26,F,5
61,Debbie Merkett,27,F,5
62,Anne-Catherine Labbé,27,F,5
63,Amber LaRoux,27,F,5
64,Mandy Clemens,25,F,5
65,Kristy Romero,25,F,5
66,Celeste Creel,24,F,5
67,Jenny Matthews,24,F,5
68,Dolores Farburg,26,F,5
69,Francine Jones,25,F,5
70,DeShaun Warner,25,F,5
71,Jessica Kyron,21,F,5
72,Holly Reeder,26,F,5
73,Rachel Clementi,26,F,5
74,Kristin Clearwater,25,F,5
75,Jennifer Wilson,24,F,9
