,sex,season,lead,winner,runner-up,engagement,still_together
0,F,1,Trista Rehn,Ryan Sutter,Charlie Maher,True,True
1,F,2,Meredith Phillips,Ian Mckee,Matthew Hickl,True,False
2,F,3,Jen Schefft,Jerry Ferris,John Paul Merritt,False,False
3,F,4,DeAnna Pappas,Jesse Csincsak,Jason Mesnick,True,False
4,F,5,Jillian Harris,Ed Swiderski,Kiptyn Locke,True,False
5,F,6,Ali Fedotowsky,Roberto Martinez,Chris Lambton,True,False
6,F,7,Ashley Hebert,J.P. Rosenbaum,Ben Flajnik,True,False
7,F,8,Emily Maynard,Jef Holm,Arie Luyendyk Jr.,True,False
8,F,9,Desiree Hartsock,Chris Siegfried,Drew Kenney,True,True
9,F,10,Andi Dorfman,Josh Murray,Nick Viall,True,False
10,F,11,Kaitlyn Bristowe,Shawn Booth,Nick Viall,False,False
11,F,12,JoJo Fletcher,Jordan Rodgers,Robby Hayes,True,True
12,F,13,Rachel Lindsay,Bryan Abasolo,Peter Kraus,True,True
13,F,14,Becca Kufrin,Garrett Yrigoyen,Blake Horstmann,True,False
14,F,15,Hannah Brown,Jed Wyatt,Tyler Cameron,True,False
